Part;Cond;Block;Trial;Click;Tar_t;Click_t;PosX;PosY;Dist;Succ
2;1;0;1;1;30-04-2018 13:39:54:31;30-04-2018 13:39:52:940;335;132;24.6018292;0
2;1;0;1;2;30-04-2018 13:39:55:234;30-04-2018 13:39:54:31;513;108;21.47673159;1
2;1;0;1;3;30-04-2018 13:39:56:227;30-04-2018 13:39:55:234;697;106;33.63406012;1
2;1;0;1;4;30-04-2018 13:39:57:111;30-04-2018 13:39:56:227;866;103;31.46823796;1
2;1;0;1;5;30-04-2018 13:39:57:907;30-04-2018 13:39:57:111;1032;91;32.22188697;1
2;1;0;1;6;30-04-2018 13:39:58:612;30-04-2018 13:39:57:907;1200;114;20.05617112;1
2;1;0;1;7;30-04-2018 13:39:59:320;30-04-2018 13:39:58:612;1404;270;32.5;1
2;1;0;1;8;30-04-2018 13:39:59:883;30-04-2018 13:39:59:320;1390;452;38.08214805;1
2;1;0;1;9;30-04-2018 13:40:0:412;30-04-2018 13:39:59:883;1394;605;20.08108563;1
2;1;0;1;10;30-04-2018 13:40:0:902;30-04-2018 13:40:0:412;1389;771;13.08625233;1
2;1;0;1;11;30-04-2018 13:40:1:490;30-04-2018 13:40:0:902;1176;900;13.12440475;1
2;1;0;1;12;30-04-2018 13:40:1:936;30-04-2018 13:40:1:490;990;889;18.06239187;1
2;1;0;1;13;30-04-2018 13:40:2:404;30-04-2018 13:40:1:936;817;887;19.00657781;1
2;1;0;1;14;30-04-2018 13:40:2:839;30-04-2018 13:40:2:404;645;889;19.05911855;1
2;1;0;1;15;30-04-2018 13:40:3:325;30-04-2018 13:40:2:839;472;895;21.36000936;1
2;1;0;1;16;30-04-2018 13:40:3:766;30-04-2018 13:40:3:325;323;871;16.77050983;0
2;1;0;1;17;30-04-2018 13:40:4:370;30-04-2018 13:40:3:766;116;757;3.640054945;1
2;1;0;1;18;30-04-2018 13:40:4:883;30-04-2018 13:40:4:370;113;571;15.00833102;1
2;1;0;1;19;30-04-2018 13:40:5:256;30-04-2018 13:40:4:883;112;424;10.0124922;1
2;1;0;1;20;30-04-2018 13:40:5:582;30-04-2018 13:40:5:256;113;290;48.0026041;1
2;1;0;1;21;30-04-2018 13:40:6:484;30-04-2018 13:40:5:582;746;518;18.43908891;1
2;1;1;1;1;30-04-2018 13:40:9:401;30-04-2018 13:40:8:651;327;103;11.80042372;1
2;1;1;1;2;30-04-2018 13:40:10:538;30-04-2018 13:40:9:401;1167;910;25.98557292;1
2;1;1;1;3;30-04-2018 13:40:11:352;30-04-2018 13:40:10:538;1179;109;3.640054945;1
2;1;1;1;4;30-04-2018 13:40:12:122;30-04-2018 13:40:11:352;356;880;36.77295202;1
2;1;1;1;5;30-04-2018 13:40:12:758;30-04-2018 13:40:12:122;758;510;12.80624847;1
2;1;2;1;1;30-04-2018 13:40:19:325;30-04-2018 13:40:17:925;107;274;32.46921619;1
2;1;2;1;2;30-04-2018 13:40:20:295;30-04-2018 13:40:19:325;1386;754;4.272001873;1
2;1;2;1;3;30-04-2018 13:40:21:120;30-04-2018 13:40:20:295;112;785;27.00462923;1
2;1;2;1;4;30-04-2018 13:40:22:445;30-04-2018 13:40:21:120;1391;255;13.46291202;1
2;1;2;1;5;30-04-2018 13:40:23:180;30-04-2018 13:40:22:445;738;517;20.80865205;1
2;1;3;1;1;30-04-2018 13:40:27:283;30-04-2018 13:40:26:540;505;124;17.35655496;1
2;1;3;1;2;30-04-2018 13:40:27:964;30-04-2018 13:40:27:283;688;118;24.6221445;1
2;1;3;1;3;30-04-2018 13:40:28:511;30-04-2018 13:40:27:964;844;120;10.9658561;1
2;1;3;1;4;30-04-2018 13:40:29:61;30-04-2018 13:40:28:511;1038;109;30.20347662;1
2;1;3;1;5;30-04-2018 13:40:29:730;30-04-2018 13:40:29:61;762;500;12;1
2;1;4;1;1;30-04-2018 13:40:32:330;30-04-2018 13:40:31:534;497;890;5.590169944;1
2;1;4;1;2;30-04-2018 13:40:32:881;30-04-2018 13:40:32:330;689;903;29.41513216;1
2;1;4;1;3;30-04-2018 13:40:33:370;30-04-2018 13:40:32:881;863;886;27.04163457;1
2;1;4;1;4;30-04-2018 13:40:33:809;30-04-2018 13:40:33:370;1024;894;17.26991604;1
2;1;4;1;5;30-04-2018 13:40:34:489;30-04-2018 13:40:33:809;755;516;16.76305461;1
2;1;5;1;1;30-04-2018 13:40:37:124;30-04-2018 13:40:36:242;117;257;15.66045976;1
2;1;5;1;2;30-04-2018 13:40:37:775;30-04-2018 13:40:37:124;118;433;19.78004044;1
2;1;5;1;3;30-04-2018 13:40:38:237;30-04-2018 13:40:37:775;112;624;38.00328933;1
2;1;5;1;4;30-04-2018 13:40:38:697;30-04-2018 13:40:38:237;105;803;45.62071898;1
2;1;5;1;5;30-04-2018 13:40:39:296;30-04-2018 13:40:38:697;773;517;28.60069929;1
2;1;6;1;1;30-04-2018 13:40:41:684;30-04-2018 13:40:40:891;1380;244;7.762087348;1
2;1;6;1;2;30-04-2018 13:40:42:165;30-04-2018 13:40:41:684;1388;458;44.00284082;1
2;1;6;1;3;30-04-2018 13:40:42:595;30-04-2018 13:40:42:165;1388;610;24.00520777;1
2;1;6;1;4;30-04-2018 13:40:43:41;30-04-2018 13:40:42:595;1395;767;11.71537451;1
2;1;6;1;5;30-04-2018 13:40:43:632;30-04-2018 13:40:43:41;733;526;31.06444913;1
2;1;7;1;1;30-04-2018 13:40:45:955;30-04-2018 13:40:45:189;350;115;30.10398645;1
2;1;7;1;2;30-04-2018 13:40:46:739;30-04-2018 13:40:45:955;358;896;38.93905494;1
2;1;7;1;3;30-04-2018 13:40:47:525;30-04-2018 13:40:46:739;491;121;8.558621384;1
2;1;7;1;4;30-04-2018 13:40:48:155;30-04-2018 13:40:47:525;574;893;82.18424423;1
2;1;7;1;5;30-04-2018 13:40:48:735;30-04-2018 13:40:48:155;752;510;10.19803903;1
2;1;8;1;1;30-04-2018 13:40:51:203;30-04-2018 13:40:50:291;1146;894;34.61574786;1
2;1;8;1;2;30-04-2018 13:40:52:8;30-04-2018 13:40:51:203;1188;90;23.87990787;1
2;1;8;1;3;30-04-2018 13:40:52:799;30-04-2018 13:40:52:8;984;881;24.86463352;1
2;1;8;1;4;30-04-2018 13:40:53:410;30-04-2018 13:40:52:799;987;107;21.70829335;1
2;1;8;1;5;30-04-2018 13:40:54:60;30-04-2018 13:40:53:410;762;502;12.16552506;1
2;1;9;1;1;30-04-2018 13:40:56:346;30-04-2018 13:40:55:520;137;282;46.90682253;0
2;1;9;1;2;30-04-2018 13:40:57:513;30-04-2018 13:40:56:346;1370;281;42.74634487;0
2;1;9;1;3;30-04-2018 13:40:58:443;30-04-2018 13:40:57:513;113;446;32.00390601;1
2;1;9;1;4;30-04-2018 13:40:59:549;30-04-2018 13:40:58:443;1403;414;15.5;1
2;1;9;1;5;30-04-2018 13:41:0:277;30-04-2018 13:40:59:549;761;506;12.52996409;1
2;1;10;1;1;30-04-2018 13:41:3:65;30-04-2018 13:41:1:832;1378;768;13.79311422;1
2;1;10;1;2;30-04-2018 13:41:3:943;30-04-2018 13:41:3:65;126;778;24.12985702;0
2;1;10;1;3;30-04-2018 13:41:4:815;30-04-2018 13:41:3:943;1404;610;29.12473176;1
2;1;10;1;4;30-04-2018 13:41:5:573;30-04-2018 13:41:4:815;112;621;35.00357125;1
